Type,components
sensor,Powertrain
sensor,Powertrain
branch,Powertrain
sensor,Powertrain
sensor,Powertrain
sensor,Powertrain
sensor,Powertrain
sensor,Powertrain
sensor,Powertrain
sensor,Powertrain
branch,Powertrain
sensor,Powertrain
sensor,Powertrain
sensor,Powertrain
sensor,Powertrain
sensor,Powertrain
sensor,Powertrain
sensor,Powertrain
branch,Powertrain
actuator,Powertrain
actuator,Powertrain
branch,Powertrain
sensor,Powertrain
sensor,Powertrain
branch,Powertrain
sensor,Powertrain
sensor,Powertrain
actuator,Powertrain
actuator,Powertrain
actuator,Powertrain
actuator,Powertrain
branch,Powertrain
attribute,Powertrain
attribute,Powertrain
attribute,Powertrain
attribute,Powertrain
sensor,Powertrain
sensor,Powertrain
sensor,Powertrain
sensor,Powertrain
sensor,Powertrain
sensor,Powertrain
sensor,Powertrain
sensor,Powertrain
sensor,Powertrain
attribute,Powertrain
actuator,Powertrain
sensor,Powertrain
sensor,Powertrain
sensor,Powertrain
attribute,Powertrain
actuator,Powertrain
actuator,Powertrain
branch,Body
attribute,Body
attribute,Body
branch,Body
actuator,Body
actuator,Body
actuator,Body
branch,Body
branch,Body
actuator,Body
actuator,Body
actuator,Body
actuator,Body
actuator,Body
branch,Body
actuator,Body
actuator,Body
actuator,Body
actuator,Body
actuator,Body
branch,Body
actuator,Body
branch,Body
sensor,Body
branch,Body
branch,Body
branch,Body
actuator,Body
actuator,Body
branch,Body
actuator,Body
actuator,Body
actuator,Body
actuator,Body
sensor,Body
sensor,Body
sensor,Body
sensor,Body
sensor,Body
sensor,Body
sensor,Body
sensor,Body
sensor,Body
actuator,Body
branch,Body
sensor,Body
sensor,Body
branch,Body
branch,Body
actuator,Body
actuator,Body
branch,Body
actuator,Body
actuator,Body
actuator,Body
actuator,Body
sensor,Body
sensor,Body
sensor,Body
sensor,Body
sensor,Body
sensor,Body
sensor,Body
sensor,Body
sensor,Body
actuator,Body
branch,Body
sensor,Body
sensor,Body
branch,Body
actuator,Body
actuator,Body
branch,Body
branch,Body
actuator,Body
sensor,Body
branch,Body
actuator,Body
sensor,Body
branch,Body
actuator,Body
sensor,Body
branch,Body
actuator,Body
sensor,Body
branch,Body
actuator,Body
sensor,Body
branch,Body
branch,Body
actuator,Body
sensor,Body
branch,Body
actuator,Body
sensor,Body
branch,Body
actuator,Body
sensor,Body
branch,Body
actuator,Body
sensor,Body
branch,Body
actuator,Body
sensor,Body
branch,Body
branch,Body
actuator,Body
sensor,Body
branch,Body
actuator,Body
sensor,Body
branch,Body
branch,Body
actuator,Body
actuator,Body
actuator,Body
actuator,Body
actuator,Body
branch,Body
actuator,Body
actuator,Body
actuator,Body
actuator,Body
actuator,Body
actuator,Body
actuator,Body
actuator,Body
branch,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
branch,Cabin
branch,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
sensor,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
branch,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
sensor,Cabin
sensor,Cabin
sensor,Cabin
sensor,Cabin
actuator,Cabin
sensor,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
branch,Cabin
sensor,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
sensor,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
attribute,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
sensor,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
sensor,Cabin
branch,Cabin
branch,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
branch,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
branch,Cabin
branch,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
sensor,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
sensor,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
branch,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
sensor,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
sensor,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
attribute,Cabin
actuator,Cabin
branch,Cabin
branch,Cabin
branch,Cabin
sensor,Cabin
branch,Cabin
branch,Cabin
sensor,Cabin
sensor,Cabin
sensor,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
sensor,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
sensor,Cabin
branch,Cabin
branch,Cabin
sensor,Cabin
sensor,Cabin
sensor,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
sensor,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
sensor,Cabin
branch,Cabin
branch,Cabin
sensor,Cabin
sensor,Cabin
sensor,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
sensor,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
branch,Cabin
sensor,Cabin
branch,Cabin
branch,Cabin
sensor,Cabin
sensor,Cabin
sensor,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
sensor,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
sensor,Cabin
branch,Cabin
branch,Cabin
sensor,Cabin
sensor,Cabin
sensor,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
sensor,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
sensor,Cabin
branch,Cabin
branch,Cabin
sensor,Cabin
sensor,Cabin
sensor,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
sensor,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
branch,Cabin
actuator,Cabin
actuator,Cabin
actuator,Cabin
attribute,Cabin
attribute,Cabin
attribute,Cabin
branch,Cabin
sensor,Cabin
actuator,Cabin
actuator,Cabin
branch,ADAS
sensor,ADAS
attribute,ADAS
branch,ADAS
actuator,ADAS
actuator,ADAS
actuator,ADAS
sensor,ADAS
branch,ADAS
actuator,ADAS
sensor,ADAS
sensor,ADAS
branch,ADAS
actuator,ADAS
sensor,ADAS
sensor,ADAS
branch,ADAS
actuator,ADAS
sensor,ADAS
sensor,ADAS
branch,ADAS
actuator,ADAS
sensor,ADAS
sensor,ADAS
branch,ADAS
actuator,ADAS
sensor,ADAS
sensor,ADAS
sensor,ADAS
branch,ADAS
sensor,ADAS
sensor,ADAS
sensor,ADAS
branch,ADAS
actuator,ADAS
sensor,ADAS
sensor,ADAS
branch,ADAS
actuator,ADAS
sensor,ADAS
sensor,ADAS
branch,ADAS
actuator,ADAS
sensor,ADAS
sensor,ADAS
actuator,ADAS
actuator,ADAS
branch,Chassis
attribute,Chassis
branch,Chassis
branch,Chassis
attribute,Chassis
attribute,Chassis
attribute,Chassis
attribute,Chassis
attribute,Chassis
attribute,Chassis
sensor,Chassis
attribute,Chassis
attribute,Chassis
attribute,Chassis
branch,Chassis
branch,Chassis
branch,Chassis
sensor,Chassis
sensor,Chassis
sensor,Chassis
sensor,Chassis
branch,Chassis
sensor,Chassis
sensor,Chassis
sensor,Chassis
sensor,Chassis
sensor,Chassis
branch,Chassis
branch,Chassis
sensor,Chassis
sensor,Chassis
sensor,Chassis
sensor,Chassis
branch,Chassis
sensor,Chassis
sensor,Chassis
sensor,Chassis
sensor,Chassis
sensor,Chassis
branch,Chassis
attribute,Chassis
attribute,Chassis
attribute,Chassis
attribute,Chassis
attribute,Chassis
attribute,Chassis
sensor,Chassis
attribute,Chassis
attribute,Chassis
attribute,Chassis
branch,Chassis
branch,Chassis
branch,Chassis
sensor,Chassis
sensor,Chassis
sensor,Chassis
sensor,Chassis
branch,Chassis
sensor,Chassis
sensor,Chassis
sensor,Chassis
sensor,Chassis
sensor,Chassis
branch,Chassis
branch,Chassis
sensor,Chassis
sensor,Chassis
sensor,Chassis
sensor,Chassis
branch,Chassis
sensor,Chassis
sensor,Chassis
sensor,Chassis
sensor,Chassis
sensor,Chassis
attribute,Chassis
branch,Chassis
actuator,Chassis
actuator,Chassis
branch,Chassis
sensor,Chassis
actuator,Chassis
actuator,Chassis
actuator,Chassis
branch,Chassis
sensor,Chassis
branch,Chassis
sensor,Chassis
sensor,Chassis
branch,OBD
attribute,OBD
attribute,OBD
attribute,OBD
branch,OBD
sensor,OBD
sensor,OBD
attribute,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
branch,OBD
branch,OBD
sensor,OBD
sensor,OBD
branch,OBD
sensor,OBD
sensor,OBD
branch,OBD
sensor,OBD
sensor,OBD
branch,OBD
sensor,OBD
sensor,OBD
branch,OBD
sensor,OBD
sensor,OBD
branch,OBD
sensor,OBD
sensor,OBD
branch,OBD
sensor,OBD
sensor,OBD
branch,OBD
sensor,OBD
sensor,OBD
attribute,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
branch,OBD
branch,OBD
sensor,OBD
sensor,OBD
sensor,OBD
branch,OBD
sensor,OBD
sensor,OBD
sensor,OBD
branch,OBD
sensor,OBD
sensor,OBD
sensor,OBD
branch,OBD
sensor,OBD
sensor,OBD
sensor,OBD
branch,OBD
sensor,OBD
sensor,OBD
sensor,OBD
branch,OBD
sensor,OBD
sensor,OBD
sensor,OBD
branch,OBD
sensor,OBD
sensor,OBD
sensor,OBD
branch,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
branch,OBD
branch,OBD
sensor,OBD
sensor,OBD
branch,OBD
sensor,OBD
sensor,OBD
branch,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
attribute,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
sensor,OBD
branch,Driver
branch,Driver
sensor,Driver
sensor,Driver
sensor,Driver
sensor,Driver
sensor,Driver
sensor,Driver
sensor,Driver
sensor,Driver
branch,Occupant
branch,Occupant
branch,Occupant
branch,Occupant
sensor,Occupant
sensor,Occupant
branch,Occupant
sensor,Occupant
sensor,Occupant
sensor,Occupant
sensor,Occupant
sensor,Occupant
sensor,Occupant
branch,Occupant
sensor,Occupant
sensor,Occupant
branch,Occupant
branch,Occupant
sensor,Occupant
sensor,Occupant
branch,Occupant
sensor,Occupant
sensor,Occupant
sensor,Occupant
sensor,Occupant
sensor,Occupant
sensor,Occupant
branch,Occupant
sensor,Occupant
sensor,Occupant
branch,Occupant
branch,Occupant
sensor,Occupant
sensor,Occupant
branch,Occupant
sensor,Occupant
sensor,Occupant
sensor,Occupant
sensor,Occupant
sensor,Occupant
sensor,Occupant
branch,Occupant
sensor,Occupant
sensor,Occupant
branch,Occupant
branch,Occupant
branch,Occupant
sensor,Occupant
sensor,Occupant
branch,Occupant
sensor,Occupant
sensor,Occupant
sensor,Occupant
sensor,Occupant
sensor,Occupant
sensor,Occupant
branch,Occupant
sensor,Occupant
sensor,Occupant
branch,Occupant
branch,Occupant
sensor,Occupant
sensor,Occupant
branch,Occupant
sensor,Occupant
sensor,Occupant
sensor,Occupant
sensor,Occupant
sensor,Occupant
sensor,Occupant
branch,Occupant
sensor,Occupant
sensor,Occupant
branch,Occupant
branch,Occupant
sensor,Occupant
sensor,Occupant
branch,Occupant
sensor,Occupant
sensor,Occupant
sensor,Occupant
sensor,Occupant
sensor,Occupant
sensor,Occupant
branch,Occupant
sensor,Occupant
sensor,Occupant
branch,Exterior
sensor,Exterior
sensor,Exterior
sensor,Exterior
branch,Service
sensor,Service
sensor,Service
sensor,Service
branch,Connectivity
sensor,Connectivity
branch,VersionVSS
attribute,VersionVSS
attribute,VersionVSS
attribute,VersionVSS
attribute,VersionVSS
branch,VehicleIdentification
attribute,VehicleIdentification
attribute,VehicleIdentification
attribute,VehicleIdentification
attribute,VehicleIdentification
attribute,VehicleIdentification
attribute,VehicleIdentification
attribute,VehicleIdentification
attribute,VehicleIdentification
attribute,VehicleIdentification
attribute,VehicleIdentification
attribute,VehicleIdentification
attribute,VehicleIdentification
attribute,VehicleIdentification
attribute,VehicleIdentification
attribute,VehicleIdentification
attribute,VehicleIdentification
attribute,VehicleIdentification
attribute,VehicleIdentification
attribute,VehicleIdentification
attribute,VehicleIdentification
attribute,VehicleIdentification
sensor,LowVoltageSystemState
branch,LowVoltageBattery
attribute,LowVoltageBattery
attribute,LowVoltageBattery
sensor,LowVoltageBattery
sensor,LowVoltageBattery
sensor,Speed
sensor,TraveledDistance
sensor,TraveledDistanceSinceStart
attribute,StaticJourneyAttribute
sensor,TripDuration
actuator,TripMeterReading
sensor,IsBrokenDown
sensor,IsMoving
sensor,AverageSpeed
branch,Acceleration
sensor,Acceleration
sensor,Acceleration
sensor,Acceleration
branch,AngularVelocity
sensor,AngularVelocity
sensor,AngularVelocity
sensor,AngularVelocity
attribute,StaticJourneyAttribute
attribute,StaticJourneyAttribute
attribute,StaticJourneyAttribute
sensor,CurrentOverallWeight
attribute,StaticJourneyAttribute
attribute,StaticJourneyAttribute
attribute,StaticJourneyAttribute
attribute,StaticJourneyAttribute
attribute,StaticJourneyAttribute
attribute,StaticJourneyAttribute
attribute,StaticJourneyAttribute
attribute,StaticJourneyAttribute
attribute,StaticJourneyAttribute
attribute,StaticJourneyAttribute
attribute,StaticJourneyAttribute
branch,Trailer
sensor,Trailer
branch,CurrentLocation
sensor,CurrentLocation
sensor,CurrentLocation
sensor,CurrentLocation
sensor,CurrentLocation
sensor,CurrentLocation
sensor,CurrentLocation
sensor,CurrentLocation
branch,CurrentLocation
sensor,CurrentLocation
branch,CurrentLocation
attribute,CurrentLocation
attribute,CurrentLocation
attribute,CurrentLocation
actuator,PowerOptimizeLevel
actuator,IsAutoPowerOptimize
branch,Diagnostics
sensor,Diagnostics
sensor,Diagnostics
